model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
Popularity,big_matrix,20,10021757,7173,0.00246401,0.11375993,0.00807194,0.00811199,0.03411633,0.59772171,0.80389650,0.0222,0.0000,cpu,视频全局完播正反馈热度。
Category,big_matrix,20,10021757,7173,0.00279529,0.12714345,0.00928482,0.00887119,0.05434377,0.60661390,0.75027873,1.2679,0.0000,cpu,视频热度 + 类别 CTR + 用户历史类别偏好。
ItemCF,big_matrix,20,10021757,7173,0.02208363,0.52739440,0.05775826,0.05814822,0.12863535,0.60510730,0.74695501,770.2331,0.0000,cpu,基于共同完播视频的余弦归一化共现相似度。
MF,big_matrix_sample,20,2000000,7173,0.00190453,0.08336819,0.00458664,0.00422185,0.09629008,0.77611191,0.52459031,3.0986,0.2258,mlu,用户和视频 embedding 点积 + bias，使用 BCE 学习完播正反馈。
Two-Tower,big_matrix_sample,20,2000000,7173,0.00068174,0.03039175,0.00154050,0.00144783,0.02675242,0.73631715,0.63093383,5.8363,0.4303,mlu,用户塔和视频塔分别编码，视频塔融合类别、caption 哈希文本和统计特征。
DNNRanker,big_matrix_sample,20,2000000,7173,0.00251082,0.09493936,0.00502579,0.00450199,0.01976137,0.76406981,0.56344854,4.0421,18.7396,mlu,融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型。
TwoTower+DNN-Blend@50a0,big_matrix,20,2000000,7173,0.00068174,0.03039175,0.00154050,0.00144783,0.02675242,0.50075539,,9.8784,19.1700,mlu,Two-Tower 先取 Top50 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.5,big_matrix,20,2000000,7173,0.00102702,0.04182350,0.00220270,0.00197727,0.02321029,0.50075555,,9.8784,19.1700,mlu,Two-Tower 先取 Top50 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@50,big_matrix,20,2000000,7173,0.00094781,0.03903527,0.00206329,0.00194939,0.02460850,0.50075558,,9.8784,19.1700,mlu,Two-Tower 先取 Top50 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0,big_matrix,20,2000000,7173,0.00068174,0.03039175,0.00154050,0.00144783,0.02675242,0.50190763,,9.8784,19.1700,mlu,Two-Tower 先取 Top100 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7173,0.00174120,0.06900878,0.00358985,0.00327762,0.01948173,0.50190815,,9.8784,19.1700,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@100,big_matrix,20,2000000,7173,0.00172660,0.06914819,0.00358985,0.00341508,0.02153244,0.50190824,,9.8784,19.1700,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
