model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
TwoTower+DNN-Blend@50a0,small_matrix,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.74722745,0.44029286,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.25,small_matrix,20,1200000,1411,0.01843866,0.92771084,0.13408930,0.16301635,0.18334836,0.75007737,0.44477224,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.5,small_matrix,20,1200000,1411,0.01901264,0.92771084,0.13869596,0.16746715,0.18935978,0.73532491,0.45180358,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.75,small_matrix,20,1200000,1411,0.01944721,0.93479802,0.14153083,0.16977107,0.20018034,0.71308203,0.46156122,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@50,small_matrix,20,1200000,1411,0.01954338,0.93692417,0.14227498,0.17011067,0.20859633,0.69066587,0.47419856,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0,small_matrix,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.68427565,0.49340068,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.25,small_matrix,20,1200000,1411,0.01846066,0.92912828,0.13430191,0.16326880,0.18334836,0.69920315,0.49604047,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.5,small_matrix,20,1200000,1411,0.02073166,0.94826364,0.15226790,0.17833632,0.18425008,0.69484540,0.50069504,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.75,small_matrix,20,1200000,1411,0.02195102,0.96385542,0.16073707,0.19063026,0.19987977,0.67716055,0.50745845,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@100,small_matrix,20,1200000,1411,0.02215775,0.96314670,0.16254429,0.19755306,0.21220319,0.65451492,0.51641187,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0,small_matrix,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.70448059,0.58569142,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.25,small_matrix,20,1200000,1411,0.01846066,0.92912828,0.13430191,0.16326880,0.18244665,0.71127656,0.58572304,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.5,small_matrix,20,1200000,1411,0.02115096,0.95038979,0.15566974,0.18083221,0.18244665,0.71229200,0.58736441,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.75,small_matrix,20,1200000,1411,0.02269898,0.97094259,0.16647768,0.19675338,0.19056207,0.70511945,0.59065061,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@200,small_matrix,20,1200000,1411,0.02268553,0.97448618,0.16708009,0.20321482,0.20138263,0.68709994,0.59560471,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
