model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
Popularity,small_matrix,20,3595097,1411,0.00764394,0.62792346,0.05722892,0.05377287,0.32431620,0.47928519,0.71002796,0.0035,0.0000,cpu,视频全局完播正反馈热度。
Category,small_matrix,20,3595097,1411,0.01231104,0.84124734,0.09234585,0.08508974,0.23264202,0.53941260,0.69769529,0.1294,0.0000,cpu,视频热度 + 类别 CTR + 用户历史类别偏好。
ItemCF,small_matrix,20,3595097,1411,0.01333192,0.79943303,0.09953933,0.10401103,0.04688909,0.47689793,0.75096516,145.1834,0.0000,cpu,基于共同完播视频的余弦归一化共现相似度。
MF,small_matrix_sample,20,1200000,1411,0.01900078,0.92204111,0.13834160,0.14359127,0.18394950,0.67929194,0.63741570,3.7216,0.0556,mlu,用户和视频 embedding 点积 + bias，使用 BCE 学习完播正反馈。
Two-Tower,small_matrix_sample,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.50873421,0.73760503,4.3262,0.0598,mlu,用户塔和视频塔分别编码，视频塔融合类别、caption 哈希文本和统计特征。
DNNRanker,small_matrix_sample,20,1341100,1411,0.02823794,0.97873848,0.21385542,0.24004969,0.18244665,0.65364886,0.75608112,3.2197,1.0898,mlu,"融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型，并追加 141,100 条 Two-Tower 高分难负样本训练。"
TwoTower+DNN-Blend@50a0,small_matrix,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.74722745,0.44029286,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.25,small_matrix,20,1200000,1411,0.01843866,0.92771084,0.13408930,0.16301635,0.18334836,0.75007737,0.44477224,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.5,small_matrix,20,1200000,1411,0.01901264,0.92771084,0.13869596,0.16746715,0.18935978,0.73532491,0.45180358,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@50a0.75,small_matrix,20,1200000,1411,0.01944721,0.93479802,0.14153083,0.16977107,0.20018034,0.71308203,0.46156122,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@50,small_matrix,20,1200000,1411,0.01954338,0.93692417,0.14227498,0.17011067,0.20859633,0.69066587,0.47419856,7.5459,1.1496,mlu,Two-Tower 先取 Top50 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0,small_matrix,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.68427565,0.49340068,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.25,small_matrix,20,1200000,1411,0.01846066,0.92912828,0.13430191,0.16326880,0.18334836,0.69920315,0.49604047,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.5,small_matrix,20,1200000,1411,0.02073166,0.94826364,0.15226790,0.17833632,0.18425008,0.69484540,0.50069504,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.75,small_matrix,20,1200000,1411,0.02195102,0.96385542,0.16073707,0.19063026,0.19987977,0.67716055,0.50745845,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@100,small_matrix,20,1200000,1411,0.02215775,0.96314670,0.16254429,0.19755306,0.21220319,0.65451492,0.51641187,7.5459,1.1496,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0,small_matrix,20,1200000,1411,0.01815151,0.91708009,0.13228207,0.15962974,0.18274722,0.70448059,0.58569142,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.25,small_matrix,20,1200000,1411,0.01846066,0.92912828,0.13430191,0.16326880,0.18244665,0.71127656,0.58572304,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.5,small_matrix,20,1200000,1411,0.02115096,0.95038979,0.15566974,0.18083221,0.18244665,0.71229200,0.58736441,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.75,small_matrix,20,1200000,1411,0.02269898,0.97094259,0.16647768,0.19675338,0.19056207,0.70511945,0.59065061,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@200,small_matrix,20,1200000,1411,0.02268553,0.97448618,0.16708009,0.20321482,0.20138263,0.68709994,0.59560471,7.5459,1.1496,mlu,Two-Tower 先取 Top200 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
