model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
TwoTower+DNN-Blend@100a0,big_matrix,20,2000000,7174,0.00172017,0.08823529,0.00484388,0.00470647,0.26854959,0.54256923,1.37946845,28.0612,20.1904,mlu,Two-Tower 先取 Top100 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.25,big_matrix,20,2000000,7174,0.00171522,0.09659883,0.00542236,0.00480629,0.23135720,0.68376429,1.04492533,28.0612,20.1904,mlu,Two-Tower 先取 Top100 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7174,0.00179122,0.10315026,0.00579872,0.00493585,0.23322148,0.73674578,0.79046927,28.0612,20.1904,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@100a0.75,big_matrix,20,2000000,7174,0.00184252,0.10802899,0.00611235,0.00514413,0.23713647,0.74875027,0.63920853,28.0612,20.1904,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@100,big_matrix,20,2000000,7174,0.00185704,0.11067745,0.00625174,0.00524455,0.24310216,0.74591630,0.58282346,28.0612,20.1904,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0,big_matrix,20,2000000,7174,0.00172017,0.08823529,0.00484388,0.00470647,0.26854959,0.56414663,1.30544107,28.0612,20.1904,mlu,Two-Tower 先取 Top200 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.25,big_matrix,20,2000000,7174,0.00147369,0.07805966,0.00433510,0.00389209,0.20488441,0.68313282,1.00462462,28.0612,20.1904,mlu,Two-Tower 先取 Top200 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.5,big_matrix,20,2000000,7174,0.00137091,0.07555060,0.00410510,0.00346809,0.19388516,0.73287149,0.77653296,28.0612,20.1904,mlu,Two-Tower 先取 Top200 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@200a0.75,big_matrix,20,2000000,7174,0.00133458,0.07499303,0.00409813,0.00342278,0.19863908,0.74496980,0.64112450,28.0612,20.1904,mlu,Two-Tower 先取 Top200 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@200,big_matrix,20,2000000,7174,0.00125112,0.07387789,0.00400056,0.00335944,0.20600298,0.73926629,0.59366044,28.0612,20.1904,mlu,Two-Tower 先取 Top200 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0,big_matrix,20,2000000,7174,0.00172017,0.08823529,0.00484388,0.00470647,0.26854959,0.57053426,1.19948632,28.0612,20.1904,mlu,Two-Tower 先取 Top500 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0.25,big_matrix,20,2000000,7174,0.00116443,0.05979928,0.00329663,0.00301897,0.18167412,0.66935097,0.94323696,28.0612,20.1904,mlu,Two-Tower 先取 Top500 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0.5,big_matrix,20,2000000,7174,0.00074895,0.03763591,0.00201422,0.00171609,0.13907532,0.71669346,0.75078335,28.0612,20.1904,mlu,Two-Tower 先取 Top500 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
TwoTower+DNN-Blend@500a0.75,big_matrix,20,2000000,7174,0.00071164,0.03373292,0.00177725,0.00152763,0.13571961,0.73133634,0.63734726,28.0612,20.1904,mlu,Two-Tower 先取 Top500 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
TwoTower+DNN-Rerank@500,big_matrix,20,2000000,7174,0.00076910,0.03624198,0.00193058,0.00167223,0.14550708,0.72779609,0.60068145,28.0612,20.1904,mlu,Two-Tower 先取 Top500 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
