model,scope,k,train_rows,eval_users,recall,hit_rate,precision,ndcg,coverage,auc,logloss,train_seconds,eval_seconds,device,notes
ItemCF-Distill-TwoTower,big_matrix,20,2000000,7174,0.00620174,0.31460831,0.02752997,0.02732021,0.04604773,0.60833942,0.67768608,9.1073,0.3958,mlu,用 ItemCF TopK teacher 样本和真实行为样本蒸馏训练 Two-Tower。
DNNRanker,big_matrix,20,2559393,7174,0.00061505,0.04265403,0.00216755,0.00218298,0.01649888,0.76374547,0.62247596,10.1559,20.9406,mlu,"融合用户、视频、类别、caption 哈希文本和统计特征的 MLP 排序模型，并追加 559,393 条蒸馏 Two-Tower 高分难负样本训练。"
DistillTwoTower+DNN-Blend@100a0,big_matrix,20,2000000,7174,0.00620174,0.31460831,0.02752997,0.02732021,0.04604773,0.51658586,0.94384263,19.2632,21.3364,mlu,Two-Tower 先取 Top100 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@100a0.25,big_matrix,20,2000000,7174,0.00841940,0.39336493,0.03508503,0.03548068,0.05900447,0.69900739,0.76928499,19.2632,21.3364,mlu,Two-Tower 先取 Top100 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@100a0.5,big_matrix,20,2000000,7174,0.00907727,0.41190410,0.03745470,0.03829931,0.06655481,0.70523833,0.65776253,19.2632,21.3364,mlu,Two-Tower 先取 Top100 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@100a0.75,big_matrix,20,2000000,7174,0.00919693,0.42166156,0.03815863,0.03917844,0.07084265,0.70444323,0.62317632,19.2632,21.3364,mlu,Two-Tower 先取 Top100 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Rerank@100,big_matrix,20,2000000,7174,0.00936521,0.42918874,0.03863953,0.03959556,0.07233408,0.70336448,0.66622773,19.2632,21.3364,mlu,Two-Tower 先取 Top100 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@200a0,big_matrix,20,2000000,7174,0.00620174,0.31460831,0.02752997,0.02732021,0.04604773,0.49633829,0.93750688,19.2632,21.3364,mlu,Two-Tower 先取 Top200 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@200a0.25,big_matrix,20,2000000,7174,0.00972550,0.43532200,0.03855590,0.03813835,0.06030947,0.67816976,0.77935294,19.2632,21.3364,mlu,Two-Tower 先取 Top200 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@200a0.5,big_matrix,20,2000000,7174,0.01079205,0.46877614,0.04291190,0.04282391,0.06944444,0.68436741,0.67454399,19.2632,21.3364,mlu,Two-Tower 先取 Top200 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@200a0.75,big_matrix,20,2000000,7174,0.01094028,0.47142459,0.04366462,0.04400358,0.07345265,0.68312402,0.63512660,19.2632,21.3364,mlu,Two-Tower 先取 Top200 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Rerank@200,big_matrix,20,2000000,7174,0.01103106,0.47323669,0.04406886,0.04455955,0.07578300,0.68178097,0.66316319,19.2632,21.3364,mlu,Two-Tower 先取 Top200 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@500a0,big_matrix,20,2000000,7174,0.00620174,0.31460831,0.02752997,0.02732021,0.04604773,0.47701978,0.89153419,19.2632,21.3364,mlu,Two-Tower 先取 Top500 候选，再按 0*Ranker + 1*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@500a0.25,big_matrix,20,2000000,7174,0.00994286,0.43671592,0.03724561,0.03575621,0.05527591,0.66405341,0.76516940,19.2632,21.3364,mlu,Two-Tower 先取 Top500 候选，再按 0.25*Ranker + 0.75*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@500a0.5,big_matrix,20,2000000,7174,0.01095030,0.45901868,0.03884165,0.03681528,0.05583520,0.67292828,0.67818703,19.2632,21.3364,mlu,Two-Tower 先取 Top500 候选，再按 0.5*Ranker + 0.5*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Blend@500a0.75,big_matrix,20,2000000,7174,0.01082045,0.45929746,0.03812378,0.03638744,0.05965697,0.67138416,0.63906756,19.2632,21.3364,mlu,Two-Tower 先取 Top500 候选，再按 0.75*Ranker + 0.25*TwoTower 融合重排 Top20。
DistillTwoTower+DNN-Rerank@500,big_matrix,20,2000000,7174,0.01074881,0.45330360,0.03763591,0.03596385,0.06180089,0.66979814,0.65020603,19.2632,21.3364,mlu,Two-Tower 先取 Top500 候选，再按 1*Ranker + 0*TwoTower 融合重排 Top20。
