model,scope,train_rows,valid_rows,evaluated_impressions,avg_candidates,auc,mrr,ndcg5,ndcg10,hitrate5,hitrate10,coverage5,coverage10,train_seconds,eval_seconds,notes
Popularity,full,5843444,2740998,73152,37.46989829,0.52225177,0.26607437,0.24726065,0.30846457,0.42343340,0.61198600,0.01706061,0.02638033,60.5427,68.0152,全量新闻点击热度基线。
Category,full,5843444,2740998,73152,37.46989829,0.58871978,0.29186566,0.27497357,0.33850675,0.46511374,0.65715223,0.01971244,0.03128545,60.5427,68.0152,全量新闻热度 + 类别 CTR + 用户历史类别偏好。
Popularity-Sample,sample,1000000,500000,13390,37.34129948,0.52150003,0.26474293,0.24596105,0.30681478,0.41979089,0.60716953,0.01033140,0.01618688,60.5427,7.9576,全量热度分数在样本验证集上的结果。
Category-Sample,sample,1000000,500000,13390,37.34129948,0.59012749,0.29182689,0.27494810,0.33793647,0.46587005,0.65601195,0.01194089,0.01890003,60.5427,7.9576,全量类别增强分数在样本验证集上的结果。
DNNRanker,sample,1000000,500000,13390,37.34129948,0.59274913,0.31226885,0.28997784,0.35350729,0.48954444,0.68117999,0.01814893,0.02627303,3.9687,0.3279,MLP Ranker，融合用户、新闻、类别、小时 embedding、标题/摘要哈希文本 embedding 和内容/统计 dense 特征。
ContentTwoTower,sample,1000000,500000,13390,37.34129948,0.61664055,0.33190537,0.31345562,0.37456042,0.51979089,0.70186706,0.01825623,0.02582850,5.5355,0.3865,内容感知双塔，使用用户历史类别、新闻类别、实体、标题/摘要哈希文本和内容统计特征。
TwoTower+DNN-Rerank@10,sample,1000000,500000,13390,37.34129948,0.60271972,0.31534972,0.29459498,0.36244276,0.49962659,0.70186706,0.01810295,0.02582850,9.5042,0.7144,Two-Tower 在每个曝光组内筛选 Top 10 候选，DNN Ranker 再重排。
TwoTower+DNN-Rerank@20,sample,1000000,500000,13390,37.34129948,0.59714469,0.31329098,0.29081793,0.35592738,0.49163555,0.68790142,0.01828689,0.02584383,9.5042,0.7144,Two-Tower 在每个曝光组内筛选 Top 20 候选，DNN Ranker 再重排。
TwoTower+DNN-Rerank@50,sample,1000000,500000,13390,37.34129948,0.59409367,0.31246100,0.29002620,0.35371239,0.48969380,0.68215086,0.01810295,0.02631902,9.5042,0.7144,Two-Tower 在每个曝光组内筛选 Top 50 候选，DNN Ranker 再重排。
TwoTower+DNN-Rerank@100,sample,1000000,500000,13390,37.34129948,0.59352827,0.31228371,0.28996675,0.35350175,0.48946975,0.68117999,0.01813360,0.02627303,9.5042,0.7144,Two-Tower 在每个曝光组内筛选 Top 100 候选，DNN Ranker 再重排。
